query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id
*,3128989,27,1.0,401,3128989,fake,2
*,3354745,11,4.0,401,3354745,fake,2
*,3355547,17,3.0,401,3355547,fake,2
*,3379037,26,2.0,401,3379037,fake,2
*,3397163,26,2.0,401,3397163,fake,2
1080p,1004722,15,1.0,86,1004722,fake,3
1196499,1196499,141,1.0,186,1196499,fake,4
1196523,1196523,133,1.0,178,1196523,fake,5
1196578,1196578,135,1.0,169,1196578,fake,6
1196596,1196596,138,1.0,187,1196596,fake,7
1196602,1196602,129,1.0,166,1196602,fake,8
1196648,1196648,145,1.0,182,1196648,fake,9
1219686,1219686,15,1.0,21,1219686,fake,10
1404497 1416723 1416778 1416678,1404497,15,2.0,64,1404497,fake,11
1404497 1416723 1416778 1416678,1416723,17,1.0,64,1416723,fake,11
1404497 1416723 1416778 1416678,1416778,11,3.0,64,1416778,fake,11
1450lmt,1089764,26,1.0,27,1089764,fake,12
19 tv,1854221,16,1.0,42,1854221,fake,13
2009281,2009281,20,1.0,21,2009281,fake,14
2622037 2127204 2127213 2121716 2138291,1647223,16,20.0,3248,1647223,fake,15
2622037 2127204 2127213 2121716 2138291,1831054,30,10.0,3248,1831054,fake,15
2622037 2127204 2127213 2121716 2138291,1853531,16,20.0,3248,1853531,fake,15
2622037 2127204 2127213 2121716 2138291,1854249,25,12.0,3248,1854249,fake,15
2622037 2127204 2127213 2121716 2138291,1854819,34,9.0,3248,1854819,fake,15
2622037 2127204 2127213 2121716 2138291,1945531,14,22.0,3248,1945531,fake,15
2622037 2127204 2127213 2121716 2138291,1945595,10,26.0,3248,1945595,fake,15
2622037 2127204 2127213 2121716 2138291,2009148,12,24.0,3248,2009148,fake,15
2622037 2127204 2127213 2121716 2138291,2009281,16,20.0,3248,2009281,fake,15
2622037 2127204 2127213 2121716 2138291,2047508,12,24.0,3248,2047508,fake,15
2622037 2127204 2127213 2121716 2138291,2047526,14,22.0,3248,2047526,fake,15
2622037 2127204 2127213 2121716 2138291,2121716,109,5.0,3248,2121716,fake,15
2622037 2127204 2127213 2121716 2138291,2125233,14,22.0,3248,2125233,fake,15
2622037 2127204 2127213 2121716 2138291,2127204,128,4.0,3248,2127204,fake,15
2622037 2127204 2127213 2121716 2138291,2127213,162,3.0,3248,2127213,fake,15
2622037 2127204 2127213 2121716 2138291,2127443,24,13.0,3248,2127443,fake,15
2622037 2127204 2127213 2121716 2138291,2127504,36,7.0,3248,2127504,fake,15
2622037 2127204 2127213 2121716 2138291,2128276,17,19.0,3248,2128276,fake,15
2622037 2127204 2127213 2121716 2138291,2135081,14,22.0,3248,2135081,fake,15
2622037 2127204 2127213 2121716 2138291,2138291,269,1.0,3248,2138291,fake,15
2622037 2127204 2127213 2121716 2138291,2138389,12,24.0,3248,2138389,fake,15
360 elite,9911636,10,1.0,63,9911636,fake,53
3D,2244466,10,1.0,82,2244466,fake,54
3D glasses,2244466,21,1.0,82,2244466,fake,55
3DS,1824258,11,2.0,73,1824258,fake,56
3DS,1824267,14,1.0,73,1824267,fake,56
3DS,1988047,10,3.0,73,1988047,fake,56
3d,2145184,25,1.0,320,2145184,fake,57
3d,2244466,22,2.0,320,2244466,fake,57
3d,2970264,10,3.0,320,2970264,fake,57
3d,3103256,10,3.0,320,3103256,fake,57
3d camera,2266034,10,1.0,30,2266034,fake,58
3d glasses,2239605,10,8.0,400,2239605,fake,59
3d glasses,2244466,118,1.0,400,2244466,fake,59
3d glasses,2340469,39,2.0,400,2340469,fake,59
3d glasses,2535315,16,4.0,400,2535315,fake,59
3d glasses,2738301,32,3.0,400,2738301,fake,59
3d glasses,2822423,10,8.0,400,2822423,fake,59
3d glasses,9828673,32,3.0,400,9828673,fake,59
3d glasses,9961858,11,7.0,400,9961858,fake,59
3d glasses,9981903,15,5.0,400,9981903,fake,59
3d glasses,9999159000050002,12,6.0,400,9999159000050002,fake,59
3d monitor,2525405,16,1.0,33,2525405,fake,60
3d movies,2068098,12,1.0,147,2068098,fake,61
3d movies,2863978,10,2.0,147,2863978,fake,61
3d starter kit,2145184,19,1.0,32,2145184,fake,62
3d tv,2072128,12,8.0,403,2072128,fake,63
3d tv,2121834,14,7.0,403,2121834,fake,63
3d tv,2122236,10,9.0,403,2122236,fake,63
3d tv,2128142,15,6.0,403,2128142,fake,63
3d tv,2135072,42,2.0,403,2135072,fake,63
3d tv,2144103,12,8.0,403,2144103,fake,63
3d tv,2145184,18,5.0,403,2145184,fake,63
3d tv,2244466,29,4.0,403,2244466,fake,63
3d tv,2970264,48,1.0,403,2970264,fake,63
3d tv,2970291,30,3.0,403,2970291,fake,63
3ds,1824258,91,2.0,578,1824258,fake,64
3ds,1824267,119,1.0,578,1824267,fake,64
3ds,1974633,20,5.0,578,1974633,fake,64
3ds,1988047,71,3.0,578,1988047,fake,64
3ds,2582044,51,4.0,578,2582044,fake,64
3ds,9999159400050005,18,6.0,578,9999159400050005,fake,64
3ds,9999159400050006,11,7.0,578,9999159400050006,fake,64
3tb,1261281,16,1.0,44,1261281,fake,65
42,9748831,10,1.0,44,9748831,fake,66
47lw5600,2128045,21,1.0,25,2128045,fake,67
50 cent,1473739,11,2.0,81,1473739,fake,68
50 cent,5295753,12,1.0,81,5295753,fake,68
50 cent,7031883,11,2.0,81,7031883,fake,68
55 inch tv,2009148,11,1.0,46,2009148,fake,69
55 led,9896008,10,1.0,37,9896008,fake,70
55lw5600,2128036,41,1.0,50,2128036,fake,71
55lw6500,2355204,10,1.0,20,2355204,fake,72
60,2009281,17,1.0,64,2009281,fake,73
60 inch,2009281,11,1.0,30,2009281,fake,74
60 inch tv,2120247,14,1.0,42,2120247,fake,75
60 tv,2009281,13,1.0,65,2009281,fake,76
60d,1221963,55,1.0,91,1221963,fake,77
Blade runner,8579736,12,1.0,26,8579736,fake,228
Blank DVD,7141844,12,1.0,43,7141844,fake,229
Bleach,1481252,10,2.0,76,1481252,fake,230
Bleach,1506097,10,2.0,76,1506097,fake,230
Bleach,3158546,14,1.0,76,3158546,fake,230
Blender,9923713,10,2.0,83,9923713,fake,231
Blender,9957442,17,1.0,83,9957442,fake,231
Blink 182,3511109,46,2.0,297,3511109,fake,232
Blink 182,3511206,192,1.0,297,3511206,fake,232
Blink 182,19519455,18,3.0,297,19519455,fake,232
Blink-182,3511206,31,1.0,49,3511206,fake,233
Blu ray,2004046,12,1.0,183,2004046,fake,234
Blu ray,2550164,10,2.0,183,2550164,fake,234
Blu ray burner,1895041,11,1.0,32,1895041,fake,235
Blu ray player,1233058,40,1.0,252,1233058,fake,236
Blu ray player,1666051,14,6.0,252,1666051,fake,236
Blu ray player,2003047,22,3.0,252,2003047,fake,236
Blu ray player,2004046,15,5.0,252,2004046,fake,236
Blu ray player,2024401,20,4.0,252,2024401,fake,236
Blu ray player,2097354,11,8.0,252,2097354,fake,236
Blu ray player,2333036,13,7.0,252,2333036,fake,236
Blu ray player,2965171,26,2.0,252,2965171,fake,236
Blue bloods,3243137,19,1.0,21,3243137,fake,237
Blue ray,1233058,11,1.0,126,1233058,fake,238